Name(ENG),Name(KOR),Code,Type,Rarity,Recipe,Drop,Stat,Image Name
Elegance,엘레강스,ELE,Pistol,Epic,FN57+FDU,,"공격력 +90,시야 +5,이동 속도 +0.25,Max Ammo: 6,",Elegance.png
Electron Blaster,일렉트론 블라스터,EBL,Pistol,Epic,BRM+ION,,"공격력 +65,공격 속도 + 50%,이동 속도 + 0.1,기본 공격 추가 피해 + 28,Max Ammo: 10,",Electron Blaster.png
Magnum-Boa,매그넘-보아,MAB,Pistol,Epic,MAN+STE,,"공격력 + 85,공격 속도 + 25%,이동 속도 +0.1,시야 +3.5,생명력 흡수 + 20%,Max Ammo: 6,",Magnum-Boa.png
Kelte,악켈테,KEL,Pistol,Legendary,FCO+BRM,,"공격력 + 120,이동 속도 + 0.2,Max Ammo: 10,",Kelte.png
Fedorova,페도로프 자동소총,FED,Assault Rifle,Common,,"호 4,공 4",공격력 +11,Fedorova (1).png
STG-44,STG-44,STG,Assault Rifle,Uncommon,FED+GUN,,"공격력 +18,시야 +1.5,기본 공격 추가 피해 +2,",STG-44.png
AK-47,AK-47,AK4,Assault Rifle,Rare,STG+PWR,,"공격력 +29,시야 +1.5,기본 공격 추가 피해 +2,",AK-47.png
M16A1,M16A1,M16,Assault Rifle,Rare,STG+LEA,,"공격력 +25,시야 +1.5,기본 공격 추가 피해 +4,",M16A1.png
Machine Gun,기관총,MGU,Assault Rifle,Epic,STG+MOT,,"공격력 +20, 공격 속도 +10%, 시야 +1.5,기본 공격 추가 피해 +11,",Machine Gun.png
Gatling Gun,개틀링건,GGU,Assault Rifle,Epic,MGU+OIL,,"공격력 +50,기본 공격 추가 피해 +14,공격 속도 +15%,시야 +1.5,Max Ammo: 30,",Gatling Gun.png
AK-12,AK-12,AK1,Assault Rifle,Epic,AK4+GLP,,"공격력 + 90,시야 + 1.5,치명타 확률 + 25%,기본 공격 추가 피해 +2,Max Ammo: 30,",AK-12.png
XCR,XCR,XCR,Assault Rifle,Epic,M16+MAG,,"공격력 +55,기본 공격 추가 피해 + 10,최대 체력 +420,시야 + 1.5,Max Ammo: 30,",XCR.png
Long Rifle,화승총,LRI,Sniper Rifle,Common,,"항 3,숲 4","공격력 +34,이동 속도 -0.1",Long Rifle.png
Springfield,스프링필드,SPR,Sniper Rifle,Uncommon,LRI+LAS,,"공격력 +50,이동 속도 -0.1,시야 +1.5,",Springfield.png
Harpoon Gun,하푼건,HGU,Sniper Rifle,Rare,SPR+SSP,,"공격력 +64, 이동 속도 -0.1, 시야 +2,",Harpoon Gun.png
Golden Rifle,금교전,GRI,Sniper Rifle,Rare,SPR+GLD,,"공격력 +73, 이동 속도 -0.15, 시야 +2.5, 스킬 증폭 +18%,",Golden Rifle.png
Railgun,레일건,RAI,Sniper Rifle,Rare,SPR+EPA,,"공격력 +78, 공격 속도 +20%, 이동 속도 -0.15, 시야 +2,",Railgun.png
Tac-50,Tac-50,TAC,Sniper Rifle,Epic,HGU+BPR,,"공격력 + 140,생명력 흡수 + 20%,이동 속도 - 0.08,시야 + 2.5,Max Ammo: 2,",Tac-50.png
Intervention,인터벤션,INT,Sniper Rifle,Epic,HGU+TCA,,"공격력 + 110,시야 + 4.5,기본 공격 사거리 + 1,Max Ammo: 2,",Intervention.png
NTW-20,NTW-20,NTW,Sniper Rifle,Epic,GRI+ISH,,"공격력 + 95,스킬 증폭 + 27%,이동 속도 - 0.15,시야 + 2.5,Max Ammo: 1,",NTW-20.png
Polaris,폴라리스,POL,Sniper Rifle,Epic,RAI+WPW,,"공격력 + 135,공격 속도 + 40%,이동 속도 - 0.1,시야 + 2,Max Ammo: 3,",Polaris.png
The Deadly Ray,사사성광,TRA,Sniper Rifle,Legendary,MST+GRI,,"공격력 + 95,스킬 증폭 + 36%,이동 속도 - 0.15,시야 + 2.5,Max Ammo: 1,",The Deadly Ray.png
Needle,바늘,NEE,Rapier,Common,,"골 7,호 6,병 6","공격력 +3, 치명타 피해량 +25%,",Needle.png
Fencing Rapier,레이피어,FER,Rapier,Uncommon,NEE+IRO,,"공격력 +16, 치명타 피해량 +25%,",Fencing Rapier.png
Apricot Sword,매화검,ASW,Rapier,Rare,FER+FFA,,"공격력 +21, 치명타 확률 +10%, 치명타 피해량 +25%, 쿨타임 감소 +10%,",Apricot Sword.png
Sword of Justice,활빈검,SJU,Rapier,Epic,FER+CAU,,"공격력 +30, 체력 재생 +1.5, 스태미너 재생 +200%, 치명타 피해량 +25%, 쿨타임 감소 +15%",Sword of Justice.png
Durendal Mk2,듀랜달 Mk2,DMK,Rapier,Epic,ASW+LAS,,"공격력 + 45,치명타 피해량 + 25%,치명타 확률 + 10%,시야 + 3,쿨타임 감소 + 10%,",Durendal Mk2.png
Volticletto,볼틱레토,VOL,Rapier,Epic,ASW+EPA,,"공격력 + 47,공격 속도 + 40%,치명타 피해량 + 25%,치명타 확률 + 10%,쿨타임 감소 + 10%,",Volticletto.png
Meteor Claymore,유성검,MCL,Rapier,Epic,ASW+MET,,"공격력 + 70,치명타 피해량 + 50%,쿨타임 감소 + 10%,",Meteor Claymore.png
Joyeuse,주와이외즈,JOY,Rapier,Epic,FER+MIT,,"공격력 + 75,치명타 피해량 + 30%,이동 속도 + 0.2,",Joyeuse.png
Mistilteinn,미스틸테인,MTT,Rapier,Legendary,SJU+BRA,,"공격력 + 30,체력 재생 + 1.5,스태미너 재생 + 200%,치명타 피해량 + 25%,쿨타임 감소 + 15%,스킬 증폭 + 20%,",Mistilteinn.png
Short Spear,단창,SSP,Spear,Common,,"연 5,절 4,숲 4",공격력 +15,Short Spear.png
Bamboo Spear,죽창,BSP,Spear,Uncommon,SSP+BAM,,"공격력 +37,",Bamboo Spear.png
Bident,바이던트,BID,Spear,Rare,BSP+KKN,,"공격력 +52,",Bident.png
Pike,파이크,PIK,Spear,Rare,SSP+STE,,"공격력 +67,이동 속도 -0.1,",Pike.png
Halberd Axe,도끼창,HAX,Spear,Rare,HCH+PIK,,"공격력 +90,이동 속도 -0.1,",Halberd Axe.png
Sharpened Spear,강창,SHS,Spear,Rare,BSP+FEA,,"공격력 +40,이동 속도 +0.1,",Sharpened Spear.png
Gentian Silver Gun,애각창,GSG,Spear,Epic,SHS+WPW,,"공격력 + 105,이동 속도 + 0.2,",Gentian Silver Gun.png
Eighteen Foot Spear,장팔사모,ESP,Spear,Epic,SHS+ION,,"공격력 +110,공격 속도 + 40%,",Eighteen Foot Spear.png
Cosmic Bident,코스믹 바이던트,CBI,Spear,Epic,BID+MST,,"공격력 + 150,",Cosmic Bident.png
Lance of Poseidon,트리아이나,LPO,Spear,Epic,BID+PIK,,"공격력 + 120,이동 속도 - 0.1,",Lance of Poseidon.png
Fangtian Huaji,방천화극,FHU,Spear,Epic,HAX+GFA,,"공격력 + 88,스킬 증폭 + 40,이동 속도 - 0.1,스킬 적중 시 치유 감소 -40%,",Fangtian Huaji.png
Dragon Guandao,청룡언월도,DGD,Spear,Epic,HAX+ISH,,"공격력 + 130,이동 속도 - 0.1,",Dragon Guandao.png
Blazing Lance,화첨창,BLA,Spear,Legendary,TFI+BSP,,"공격력 + 130,체력 재생 + 1.5,스태미너 재생 + 1.5,기본 공격 추가 피해 + 30,",Blazing Lance.png
Spear of Longinus,롱기누스의 창,SLO,Spear,Legendary,VBS+PIK,,"공격력 + 150,생명력 흡수 + 20%,",Spear of Longinus.png
Hammer,망치,HAM,Hammer,Common,,"연 7,모 6,골 8",공격력 +16,Hammer.png
Warhammer,워해머,WAR,Hammer,Uncommon,HAM+SRO,,"공격력 +40,",Warhammer.png
Morning Star,모닝 스타,MNS,Hammer,Rare,WAR+IBA,,"공격력 +55,",Morning Star.png
Black Stag Hammer,사슴 망치,BHA,Hammer,Rare,WAR+LEA,,"공격력 +56,",Black Stag Hammer.png
Fang Mace,낭아봉,FMA,Hammer,Epic,MNS+HST,,"공격력 + 55,스킬 증폭 + 35,",Fang Mace.png
Hammer of Dagda,다그다의 망치,HDA,Hammer,Epic,BHA+SRE,,"공격력 + 95,체력 재생 + 250%,",Hammer of Dagda.png
Hammer of Thor,토르의 망치,HTH,Hammer,Epic,BHA+ION,,"공격력 + 120,공격 속도 + 40%,",Hammer of Thor.png
Evening Star,개밥바라기,EST,Hammer,Epic,MST+MNS,,"공격력 + 145,",Evening Star.png
Magic Stick,마법봉,MGS,Hammer,Epic,WAR+MPE,,"공격력 + 60,생명력 흡수 + 30%,스킬 증폭 + 27%,",Magic Stick.png
Branch,나뭇가지,BRA,Bat,Common,,채집,공격력 +5,Branch.png
Short Rod,단봉,SRO,Bat,Common,,"항 5,연 5,절 5",공격력 +15,Short Rod.png
Long Rod,장봉,LRO,Bat,Uncommon,SRO+BAM,,공격력 +25,Long Rod.png
Goblin Bat,도깨비 방망이,GBA,Bat,Rare,LRO+NAI,,"공격력 +30,Healing Reduction (Normal Attacks) -40%,",Goblin Bat.png
Umbrella,우산,UMB,Bat,Rare,LRO+FAN,,"공격력 +30,스킬 증폭 +14,",Umbrella.png
Torch,횃불,TOR,Bat,Rare,FDU+OLC,,"공격력 +40,체력 재생 +0.8,공격 속도 +10%, 이동 속도 +0.1",Torch.png
Statue of Soteria,구원의 여신상,SSO,Bat,Epic,TOR+DOL,,"공격력 + 95,체력 재생 + 1.5,스태미너 재생 + 60%,공격 속도 + 15%,이동 속도 + 0.15,생명력 흡수 + 10%,",Statue of Soteria.png
Mallet,타구봉,MAL,Bat,Epic,GBA+MOT,,"공격력 + 90,공격 속도 + 50%,Healing Reduction (Normal Attacks) -40%,",Mallet.png
Spy Umbrella,스파이의 우산,SUM,Bat,Epic,UMB+POI,,"공격력 + 40,스킬 증폭 + 25,",Spy Umbrella.png
Monkey King Bar,여의봉,MBA,Bat,Legendary,FCO+LRO,,"공격력 + 140,",Monkey King Bar.png
Baseball,야구공,BAS,Throw,Common,,,공격력 +12,Signed Ball.png
Iron Ball,쇠구슬,IBA,Throw,Common,,"양 5,숲 7,공 7",공격력 +12,Iron Ball.png
Grenade,수류탄,GRE,Throw,Uncommon,IBA+GUN,,"공격력 +25,기본 공격 추가 피해 +20,",Grenade.png
Molotov Cocktail,화염병,MCO,Throw,Uncommon,GLB+OIL,,"공격력 +22, 공격 속도 +15%,",Molotov Cocktail.png
Signed Ball,싸인볼,SBA,Throw,Uncommon,BAS+FPE,,"공격력 +30,",팬키트에없음
Sling,슬링,SLI,Throw,Rare,SBA+RUB,,"공격력 +42,",Sling.png
Flour Bomb,밀가루폭탄,FBO,Throw,Rare,WPW+MCO,,"공격력 +58, 공격 속도 +15%,",Flour Bomb.png
Ball Lightning,볼 라이트닝,BLI,Throw,Rare,IBA+DBA,,"공격력 +24, 공격 속도 +20%,",Ball Lightning.png
Flubber,플러버,FLU,Throw,Rare,RUB+HWA,,"공격력 +42,",Flubber.png
Spiky Bouncy Ball,가시 탱탱볼,SBB,Throw,Rare,FLU+NAI,,"공격력 +36,스킬 적중 시 치유 감소 -40%,",Spiky Bouncy Ball.png
Highly Explosive Grenade,소이탄,HEG,Throw,Epic,MCO+BLI,,"공격력 + 56,기본 공격 추가 피해 + 80,",Highly Explosive Grenade.png
Incendiary Bomb,고폭 수류탄,IBO,Throw,Epic,GRE+RDX,,"공격력 + 55,공격 속도 + 50%,",Incendiary Bomb.png
Grenade of Antioch,안티오크의 수류탄,GAN,Throw,Epic,IBO+CRS,,"공격력 + 70,기본 공격 추가 피해 + 80,",Grenade of Antioch.png
David's Sling,다비드슬링,DSL,Throw,Epic,SLI+SRE,,"공격력 + 45,체력 재생 +150%,기본 공격 추가 피해 +30,",David_s Sling.png
Smoke Bomb,연막탄,SMB,Throw,Epic,FBO+COL,,"공격력 + 90,공격 속도 +30%,",Smoke Bomb.png
Ruthenium Marble,루테늄 구슬,RMA,Throw,Epic,SBB+GLD,,"공격력 +70,스킬 증폭 +20%,스킬 적중 시 치유 감소 40%,",Ruthenium Marble.png
Razor,면도칼,RAZ,Shuriken,Common,,,,Razor.png
Playing Cards,트럼프 카드,PCA,Shuriken,Common,,,,Playing Cards.png
Chalk,분필,CHL,Shuriken,Common,,,,Chalk.png
Dart,다트,DAR,Shuriken,Uncommon,,,"공격력 +11,이동 속도 +0.1,치명타 피해량 +20%,",Dart.png
Vintage Cards,빈티지 카드,VCA,Shuriken,Uncommon,,,"공격력 +15,치명타 확률 +10%,",Vintage Cards.png
Throwing Stars,표창,TST,Shuriken,Uncommon,,,"공격력 +27,",Throwing Stars.png
Onyx Dagger,흑건,ODA,Shuriken,Uncommon,,,"공격력 +17,기본 공격 추가 피해 +10,",Onyx Dagger.png
Charm,부적,CHM,Shuriken,Rare,,,"공격력 +40,스킬 증폭 +10%,",Charm.png
Willow Leaf Spike,유엽비도,WSP,Shuriken,Rare,,,"공격력 +17,기본 공격 추가 피해 +20,",Willow Leaf Spike.png
Chakram,챠크람,CHK,Shuriken,Rare,,,"공격력 +38,",Chakram.png
Apricot Flower Tag,매화비표,ATA,Shuriken,Rare,,,"공격력 +14,쿨타임 감소 +10%,기본 공격 추가 피해 +30,",Apricot Flower Tag.png
Venom Dart,독침,VDA,Shuriken,Rare,,,"공격력 +55,치명타 피해량 +20%,스킬 증폭 +15,",Venom Dart.png
Dharma Chakram,법륜,DCH,Shuriken,Rare,,,"공격력 +34,스킬 증폭 +15%,",Dharma Chakram.png
Plumbata,플럼바타,PLU,Shuriken,Rare,,,"공격력 +48,이동 속도 +0.1,치명타 피해량 +25%,",Plumbata.png
Cards of Tyranny,미치광이왕의 카드,CTY,Shuriken,Epic,,,"공격력 + 45,공격 속도 + 30%,치명타 확률 +20%,",Cards of Tyranny.png
Mystic Jade Charm,옥전결,MCH,Shuriken,Epic,,,"공격력 + 60,스킬 증폭 + 12,스킬 증폭 + 12%,",Mystic Jade Charm.png
Fuhma Shuriken,풍마 수리검,FSH,Shuriken,Epic,,,"공격력 + 40,쿨타임 감소 +15%,기본 공격 추가 피해 +36,",Fuhma Shuriken.png
Frost Venom Dart,빙백은침,FVD,Shuriken,Epic,,,"공격력 + 80,치명타 피해량 +50%,스킬 증폭 +20,",Frost Venom Dart.png
Azure Dagger,푸른색 단도,ADA,Shuriken,Epic,,,"공격력 + 20,기본 공격 추가 피해 + 33,스킬 증폭 + 24,",Azure Dagger.png
Flechette,플레셋,FLE,Shuriken,Epic,,,"공격력 + 75,이동 속도 + 0.2,치명타 피해량 + 40%,",Flechette.png
Wind and Fire Wheels,건곤권,WWH,Shuriken,Epic,,,"공격력 + 55,스킬 증폭 +17%,",Wind and Fire Wheels.png
Death Rune,생사부,DRU,Shuriken,Epic,,,"공격력 + 80,스킬 증폭 + 20%,",Death Rune.png
Sudarsana,수다르사나,SUD,Shuriken,Legendary,,,"공격력 + 125,",Sudarsana.png
Petal Torrent,만천화우,PTR,Shuriken,Legendary,,,"공격력 + 100,치명타 피해량 + 50%,기본 공격 추가 피해 + 140,스킬 증폭 + 30,",Petal Torrent.png
Bow,양궁,BOW,Bow,Common,,,"공격력 +11,",Bow.png
Wooden Bow,목궁,WBO,Bow,Uncommon,BRA+PWR,,"공격력 +26,",Wooden Bow.png
Longbow,장궁,LON,Bow,Uncommon,,,"공격력 +25,",Longbow.png
Composite Bow,컴포지트 보우,CBO,Bow,Uncommon,,,"공격력 +16,기본 공격 시 치유 감소 -40%,",Composite Bow.png
Strong Bow,강궁,STO,Bow,Rare,,,"공격력 +26,공격 속도 +15%,",Strong Bow.png
Stallion Bow,국궁,SAO,Bow,Rare,,,"공격력 +20,기본 공격 추가 피해 +25,",Stallion Bow.png
Mighty Bow,벽력궁,MBO,Bow,Rare,,,"공격력 +20,기본 공격 추가 피해 +11,",Mighty Bow.png
Pellet Bow,탄궁,PBO,Bow,Rare,,,"공격력 +55,",Pellet Bow.png
Scorchbow,화전,SCO,Bow,Rare,,,"공격력 +24,스킬 증폭 +18,",Scorchbow.png
Ancient Bolt,편전,ABO,Bow,Epic,,,"공격력 + 55,기본 공격 추가 피해 + 40,",Ancient Bolt.png
Golden-Ratio Bow,골든래쇼 보우,GBO,Bow,Epic,,,"공격력 + 60,스킬 증폭 + 20%,",Golden-Ratio Bow.png
Twinbow,트윈보우,TWI,Bow,Epic,,,"공격력 + 70,공격 속도 + 50%,기본 공격 시 치유 감소 -40%,",Twinbow.png
Elemental Bow,엘리멘탈보우,EBO,Bow,Epic,,,"공격력 + 60,이동 속도 +0.1,스킬 증폭 + 48,스킬 적중 시 치유 감소 -40%,",Elemental Bow.png
Failnaught,페일노트,FAI,Bow,Legendary,,,"공격력 + 80,공격 속도 + 15%,생명력 흡수 + 15%,",Failnaught.png
Short Crossbow,석궁,SCR,Crossbow,Common,,,,Short Crossbow.png
Long Crossbow,쇠뇌,LOC,Crossbow,Uncommon,석궁+PWR,,"공격력 +30,",Long Crossbow.png
Crossbow,크로스보우,CRB,Crossbow,Uncommon,석궁+BAM,,"공격력 +30,",Crossbow.png
Power Crossbow,노,PCR,Crossbow,Rare,쇠뇌+RUB,,"공격력 +42,",Power Crossbow.png
Laser Crossbow,저격궁,LAC,Crossbow,Rare,크로스보우+레이저 포인터,,"공격력 +30,시야 +2.5,",Laser Crossbow.png
Heavy Crossbow,헤비 크로스보우,HCR,Crossbow,Rare,쇠뇌+STE,,"공격력 +72,이동 속도 -0.1,",Heavy Crossbow.png
Steel Bow,철궁,SBO,Crossbow,Rare,크로스보우+ISH,,"공격력 +60,",Steel Bow.png
The Legend of the General,대황,TGE,Crossbow,Epic,철궁+OLC,,"공격력 + 75,체력 재생 + 2,공격 속도 + 50%,",The Legend of the General.png
Ballista,발리스타,BAL,Crossbow,Epic,헤비 크로스보우+단창,,"공격력 + 115,공격 속도 - 10%,이동 속도 - 0.1,",Ballista.png
Sniper Crossbow,저격 크로스보우,SNC,Crossbow,Epic,저격궁+저격 스코프,,"공격력 + 90,시야 +5,기본 공격 사거리 +1.2,",Sniper Crossbow.png
The Golden Ghost,영광금귀신기노,TGH,Crossbow,Epic,노+RDX,,"공격력 + 70,기본 공격 추가 피해 +40,",The Golden Ghost.png
Sharanga,샤릉가,SHR,Crossbow,Legendary,FCO+크로스보우,,"공격력 + 140,",Sharanga.png
Brass Knuckles,너클,BKN,Glove,Common,,"숲 5,묘지 5",,Brass Knuckles.png
Cotton Gloves,목장갑,CGL,Glove,Common,,"호텔 4,병원 4",,Cotton Gloves.png
Leather Gloves,글러브,LGL,Glove,Uncommon,목장갑+LEA,,"공격력 +18,",Leather Gloves.png
Iron Knuckles,아이언 너클,IKN,Glove,Uncommon,너클+IRO,,"공격력 +20,",Iron Knuckles.png
Gauntlet,건틀릿,GAU,Glove,Rare,목장갑+STE,,"공격력 +32,이동 속도 -0.1,",Gauntlet.png
Wing Knuckles,윙 너클,WKN,Glove,Rare,아이언 너클 + FEA,,"공격력 +20,이동 속도 +0.1,",Wing Knuckles.png
Bone Guantlet,귀골 장갑,BGU,Glove,Rare,건틀릿+TTS,,"공격력 +35,방어력 +13,이동 속도 -0.1,",Bone Guantlet.png
Shatter Shell Gauntlet,벽력귀투,SGA,Glove,Rare,건틀릿+GUN,,"공격력 +32,이동 속도 -0.1,기본 공격 추가 피해 +15,",Shatter Shell Gauntlet.png
Glass Knuckles,유리 너클,GKN,Glove,Rare,아이언 너클+유리조각,,"공격력 +28,치명타 확률 +10%,",Glass Knuckles.png
Phoenix Gloves,회단 장갑,PGL,Glove,Rare,글러브+ASH,,"공격력 +27,스킬 증폭 +30,",Phoenix Gloves.png
One Inch Punch,단영촌천투,OPU,Glove,Epic,귀골 장갑+인형,,"공격력 + 50,방어력 + 25,스태미너 재생(%) + 50%,생명력 흡수 + 10%,",One Inch Punch.png
Divine Fist,디바인 피스트,DFI,Glove,Epic,벽력귀투+십자가,,"공격력 + 35,기본 공격 추가 피해 + 33,이동 속도 - 0.1,",Divine Fist.png
Bloodwing Knuckles,블러드윙 너클,BWK,Glove,Epic,윙 너클+RBY,,"공격력 + 53,최대 체력 + 400,이동 속도 + 0.1,",Bloodwing Knuckles.png
Frost Petal Hand,빙화현옥수,FHA,Glove,Epic,회단 장갑+얼음,,"공격력 + 27,쿨타임 감소 + 15%,스킬 증폭 + 38,",Frost Petal Hand.png
Buddha's Palm,여래수투,BPA,Glove,Epic,회단 장갑+전신사리,,"공격력 + 33,쿨타임 감소 + 10%,스킬 증폭 + 18%,",Buddha_s Palm.png
